"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2015","1,388.13","1,368.11","1,388.13","1,362.14","-","1.43%"
"Apr 29, 2015","1,368.54","1,373.46","1,373.46","1,360.44","-","-0.37%"
"Apr 28, 2015","1,373.60","1,369.02","1,379.05","1,355.10","-","0.37%"
"Apr 27, 2015","1,368.60","1,385.15","1,397.06","1,366.78","-","-1.29%"
"Apr 24, 2015","1,386.50","1,369.54","1,393.77","1,369.54","-","1.24%"
"Apr 23, 2015","1,369.54","1,346.06","1,370.47","1,336.82","-","1.73%"
"Apr 22, 2015","1,346.29","1,325.90","1,350.17","1,325.90","-","1.57%"
"Apr 20, 2015","1,325.51","1,333.46","1,340.90","1,319.66","-","-0.56%"
"Apr 17, 2015","1,333.04","1,353.19","1,353.19","1,332.54","-","-1.51%"
"Apr 16, 2015","1,353.45","1,354.12","1,354.12","1,345.70","-","-0.05%"
"Apr 15, 2015","1,354.14","1,342.28","1,355.17","1,340.92","-","1.02%"
"Apr 14, 2015","1,340.44","1,350.04","1,356.22","1,335.36","-","-0.71%"
"Apr 13, 2015","1,349.97","1,353.58","1,361.66","1,343.13","-","-0.27%"
"Apr 10, 2015","1,353.59","1,346.08","1,357.66","1,338.92","-","0.56%"
"Apr 09, 2015","1,346.08","1,354.96","1,355.90","1,337.47","-","-0.69%"
"Apr 08, 2015","1,355.42","1,351.63","1,369.51","1,351.63","-","0.34%"
"Apr 07, 2015","1,350.89","1,352.27","1,360.32","1,342.99","-","-0.08%"
"Apr 06, 2015","1,352.00","1,338.41","1,361.47","1,338.32","-","1.02%"
"Apr 02, 2015","1,338.35","1,324.67","1,344.58","1,324.67","-","1.06%"
"Apr 01, 2015","1,324.32","1,297.58","1,330.82","1,297.58","-","2.08%"
"Mar 31, 2015","1,297.28","1,296.81","1,304.19","1,282.55","-","0.03%"
"Mar 30, 2015","1,296.88","1,271.00","1,296.90","1,270.91","-","2.06%"
"Mar 27, 2015","1,270.71","1,280.20","1,281.50","1,262.97","-","-0.72%"
"Mar 26, 2015","1,279.95","1,308.25","1,308.25","1,278.14","-","-2.18%"
"Mar 25, 2015","1,308.44","1,305.25","1,323.93","1,302.24","-","0.28%"
"Mar 24, 2015","1,304.81","1,314.96","1,324.16","1,292.74","-","-0.77%"
"Mar 23, 2015","1,314.98","1,318.23","1,323.07","1,306.67","-","-0.25%"
"Mar 20, 2015","1,318.23","1,299.12","1,329.33","1,299.12","-","1.50%"
"Mar 19, 2015","1,298.80","1,311.42","1,312.16","1,291.80","-","-0.95%"
"Mar 18, 2015","1,311.30","1,280.66","1,317.67","1,270.15","-","2.39%"
"Mar 17, 2015","1,280.71","1,246.21","1,281.85","1,245.84","-","2.77%"
"Mar 16, 2015","1,246.21","1,241.13","1,255.14","1,236.64","-","0.41%"
"Mar 13, 2015","1,241.09","1,246.96","1,246.96","1,222.41","-","-0.57%"
"Mar 12, 2015","1,248.24","1,248.26","1,264.35","1,242.02","-","0.00%"
"Mar 11, 2015","1,248.18","1,231.44","1,248.18","1,230.47","-","1.40%"
"Mar 10, 2015","1,230.99","1,251.93","1,251.95","1,230.99","-","-1.69%"
"Mar 09, 2015","1,252.13","1,270.20","1,270.20","1,242.75","-","-1.43%"
"Mar 06, 2015","1,270.29","1,280.82","1,282.61","1,264.59","-","-0.82%"
"Mar 05, 2015","1,280.76","1,281.89","1,289.96","1,274.07","-","-0.07%"
"Mar 04, 2015","1,281.66","1,301.98","1,301.98","1,278.78","-","-1.62%"
"Mar 03, 2015","1,302.72","1,295.16","1,303.03","1,291.18","-","0.58%"
"Mar 02, 2015","1,295.25","1,308.56","1,308.56","1,288.77","-","-1.02%"
"Feb 27, 2015","1,308.66","1,313.06","1,333.61","1,307.24","-","-0.33%"
"Feb 26, 2015","1,313.05","1,310.47","1,313.57","1,296.71","-","0.20%"
"Feb 25, 2015","1,310.42","1,310.28","1,310.82","1,294.30","-","-0.04%"
"Feb 24, 2015","1,310.93","1,299.65","1,310.93","1,290.14","-","0.89%"
"Feb 23, 2015","1,299.33","1,294.26","1,307.28","1,284.67","-","0.39%"
"Feb 20, 2015","1,294.30","1,295.79","1,299.22","1,280.20","-","-0.10%"
