"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2012","11,014.70","11,139.59","11,140.38","10,965.24","-","-1.12%"
"Apr 09, 2012","11,139.59","11,244.51","11,244.51","11,062.19","-","-0.93%"
"Apr 05, 2012","11,244.51","11,246.25","11,336.21","11,205.22","-","-0.03%"
"Apr 04, 2012","11,248.21","11,290.88","11,291.41","11,163.68","-","-0.38%"
"Apr 03, 2012","11,291.28","11,400.31","11,456.60","11,248.51","-","-0.95%"
"Apr 02, 2012","11,399.34","11,238.82","11,428.71","11,210.36","-","1.43%"
"Mar 30, 2012","11,238.63","11,354.88","11,438.00","11,218.26","-","-0.99%"
"Mar 29, 2012","11,351.26","11,322.68","11,360.09","11,201.18","-","0.25%"
"Mar 28, 2012","11,322.68","11,553.55","11,559.59","11,298.01","-","-1.98%"
"Mar 27, 2012","11,551.95","11,713.58","11,759.68","11,516.09","-","-1.38%"
"Mar 26, 2012","11,713.57","11,464.94","11,713.73","11,464.94","-","2.17%"
"Mar 23, 2012","11,464.73","11,397.61","11,470.08","11,338.53","-","0.60%"
"Mar 22, 2012","11,396.84","11,532.29","11,532.29","11,360.13","-","-1.17%"
"Mar 21, 2012","11,531.18","11,595.16","11,623.54","11,514.69","-","-0.54%"
"Mar 20, 2012","11,594.19","11,638.63","11,638.66","11,505.92","-","-0.38%"
"Mar 19, 2012","11,638.63","11,602.83","11,695.78","11,600.01","-","0.31%"
"Mar 16, 2012","11,602.56","11,675.09","11,726.07","11,600.52","-","-0.63%"
"Mar 15, 2012","11,675.71","11,755.64","11,756.90","11,602.86","-","-0.68%"
"Mar 14, 2012","11,755.57","11,716.14","11,842.95","11,686.72","-","0.34%"
"Mar 13, 2012","11,715.29","11,430.23","11,721.45","11,430.23","-","2.49%"
"Mar 12, 2012","11,430.14","11,377.49","11,463.40","11,294.29","-","0.46%"
"Mar 09, 2012","11,377.62","11,316.23","11,464.62","11,293.02","-","0.54%"
"Mar 08, 2012","11,316.46","11,145.45","11,356.36","11,145.45","-","1.56%"
"Mar 07, 2012","11,142.89","10,952.90","11,154.49","10,952.90","-","1.73%"
"Mar 06, 2012","10,952.90","11,188.65","11,188.65","10,919.49","-","-2.11%"
"Mar 05, 2012","11,188.81","11,237.67","11,276.54","11,160.43","-","-0.44%"
"Mar 02, 2012","11,237.72","11,066.76","11,247.62","11,066.76","-","1.54%"
"Mar 01, 2012","11,066.85","10,895.12","11,073.29","10,895.12","-","1.58%"
"Feb 29, 2012","10,895.05","10,831.71","10,948.69","10,788.49","-","0.59%"
"Feb 28, 2012","10,831.18","10,746.52","10,880.17","10,746.52","-","0.79%"
"Feb 27, 2012","10,746.52","10,787.68","10,789.66","10,658.32","-","-0.38%"
"Feb 24, 2012","10,787.45","10,764.32","10,848.02","10,764.32","-","0.21%"
"Feb 23, 2012","10,764.32","10,850.83","10,863.77","10,746.66","-","-0.82%"
"Feb 22, 2012","10,853.21","10,875.05","10,875.05","10,758.96","-","-0.19%"
"Feb 17, 2012","10,874.08","10,802.75","10,878.78","10,785.81","-","0.66%"
"Feb 16, 2012","10,802.30","10,686.58","10,803.72","10,624.52","-","1.08%"
"Feb 15, 2012","10,686.45","10,576.98","10,732.38","10,576.98","-","1.03%"
"Feb 14, 2012","10,576.98","10,676.74","10,724.10","10,544.54","-","-0.92%"
"Feb 13, 2012","10,675.27","10,458.80","10,686.87","10,458.30","-","2.07%"
