"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2011","1,161.60","1,187.68","1,187.68","1,149.09","-","-2.20%"
"Aug 17, 2011","1,187.74","1,179.00","1,189.88","1,173.33","-","0.74%"
"Aug 16, 2011","1,179.00","1,187.29","1,187.29","1,166.92","-","-0.71%"
"Aug 15, 2011","1,187.48","1,160.72","1,188.24","1,160.72","-","2.30%"
"Aug 12, 2011","1,160.73","1,161.36","1,164.06","1,148.26","-","-0.03%"
"Aug 11, 2011","1,161.08","1,116.54","1,161.98","1,116.34","-","3.99%"
"Aug 10, 2011","1,116.53","1,108.60","1,121.40","1,091.15","-","0.72%"
"Aug 09, 2011","1,108.54","1,069.29","1,111.99","1,069.29","-","3.69%"
"Aug 08, 2011","1,069.06","1,155.79","1,155.79","1,057.13","-","-7.51%"
"Aug 05, 2011","1,155.92","1,148.39","1,167.14","1,123.71","-","0.62%"
"Aug 04, 2011","1,148.75","1,222.64","1,222.64","1,148.75","-","-6.06%"
"Aug 03, 2011","1,222.91","1,254.24","1,255.78","1,211.03","-","-2.50%"
"Aug 02, 2011","1,254.23","1,278.71","1,280.16","1,254.10","-","-1.92%"
"Aug 01, 2011","1,278.77","1,285.22","1,302.64","1,276.46","-","-0.50%"
"Jul 29, 2011","1,285.23","1,283.37","1,286.56","1,272.37","-","0.14%"
"Jul 28, 2011","1,283.37","1,278.28","1,292.27","1,277.86","-","0.40%"
"Jul 27, 2011","1,278.24","1,305.05","1,305.05","1,277.16","-","-2.05%"
"Jul 26, 2011","1,305.05","1,314.65","1,319.89","1,300.39","-","-0.74%"
"Jul 25, 2011","1,314.84","1,323.74","1,323.74","1,312.94","-","-0.68%"
"Jul 22, 2011","1,323.80","1,318.79","1,327.18","1,316.99","-","0.39%"
"Jul 21, 2011","1,318.66","1,296.97","1,318.66","1,296.97","-","1.67%"
"Jul 20, 2011","1,296.97","1,294.76","1,303.55","1,293.75","-","0.17%"
"Jul 19, 2011","1,294.76","1,293.57","1,304.38","1,292.46","-","0.10%"
"Jul 18, 2011","1,293.46","1,309.22","1,309.22","1,290.67","-","-1.23%"
"Jul 15, 2011","1,309.59","1,319.34","1,324.61","1,306.25","-","-0.74%"
"Jul 14, 2011","1,319.40","1,334.24","1,337.15","1,316.71","-","-1.12%"
"Jul 13, 2011","1,334.28","1,320.37","1,338.02","1,320.29","-","1.05%"
